S. No.,Reg_No,Campus,Package,Company,Branch,CTC
194,21BBS0003,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
195,21BBS0006,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
196,21BBS0029,VIT - Vellore,,Infosys,BBS,3.6LPA
197,21BBS0031,VIT - Vellore,GenC Select,Cognizant,BBS,4LPA
198,21BBS0036,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
199,21BBS0049,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
200,21BBS0051,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
201,21BBS0053,VIT - Vellore,GenC Next Select,Cognizant,BBS,5.4LPA
202,21BBS0063,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
203,21BBS0070,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
204,21BBS0073,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
205,21BBS0074,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
206,21BBS0080,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
207,21BBS0092,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
208,21BBS0148,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
209,21BBS0153,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
210,21BBS0163,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
211,21BBS0167,VIT - Vellore,,LTIMindtree,BBS,4LPA
212,21BBS0167,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
213,21BBS0167,VIT - Vellore,GenC Select,Cognizant,BBS,4LPA
214,21BBS0171,VIT - Vellore,,LTIMindtree,BBS,4LPA
215,21BBS0171,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
216,21BBS0186,VIT - Vellore,GenC Select,Cognizant,BBS,4LPA
217,21BBS0186,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
218,21BBS0189,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
219,21BBS0208,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
220,21BBS0219,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
221,21BBS0220,VIT - Vellore,GenC Select,Cognizant,BBS,4LPA
222,21BBS0234,VIT - Vellore,GenC Select,Cognizant,BBS,4LPA
223,21BBS0240,VIT - Vellore,GenC Select,Cognizant,BBS,4LPA
224,21BBS0243,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
225,21BBS0249,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
226,21BBS0272,VIT - Vellore,,Infosys,BBS,3.6LPA
227,21BBS0272,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
228,21BBS0275,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
229,21BBS0284,VIT - Vellore,,Infosys,BBS,3.6LPA
230,21BBT0002,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
231,21BBT0024,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
232,21BBT0044,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
233,21BBT0098,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
234,21BBT0119,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
235,21BBT0126,VIT - Vellore,,LTIMindtree,BBT,4LPA
236,21BBT0135,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
237,21BBT0170,VIT - Vellore,GenC Select,Cognizant,BBT,4LPA
238,21BBT0214,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
239,21BBT0238,VIT - Vellore,,LTIMindtree,BBT,4LPA
240,21BBT0285,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
241,21BBT0303,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
242,21BBT0324,VIT - Vellore,,Infosys,BBT,3.6LPA
243,21BBT0388,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
244,21BCB0001,VIT - Vellore,GenC Select,Cognizant,BCB,4LPA
245,21BCB0001,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
246,21BCB0006,VIT - Vellore,,LTIMindtree,BCB,4LPA
247,21BCB0016,VIT - Vellore,,LTIMindtree,BCB,4LPA
248,21BCB0034,VIT - Vellore,GenC Select,Cognizant,BCB,4LPA
249,21BCB0034,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
250,21BCB0050,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
251,21BCB0080,VIT - Vellore,,Infosys,BCB,3.6LPA
252,21BCB0080,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
253,21BCB0087,VIT - Vellore,,LTIMindtree,BCB,4LPA
254,21BCB0087,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
255,21BCB0090,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
256,21BCB0099,VIT - Vellore,GenC Select,Cognizant,BCB,4LPA
257,21BCB0099,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
258,21BCB0100,VIT - Vellore,GenC Select,Cognizant,BCB,4LPA
259,21BCB0100,VIT - Vellore,,Infosys,BCB,3.6LPA
260,21BCB0102,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
261,21BCB0102,VIT - Vellore,GenC Select,Cognizant,BCB,4LPA
262,21BCB0103,VIT - Vellore,,Infosys,BCB,3.6LPA
263,21BCB0103,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
264,21BCB0105,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
265,21BCB0110,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
266,21BCB0116,VIT - Vellore,,Infosys,BCB,3.6LPA
267,21BCB0118,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
268,21BCB0120,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
269,21BCB0125,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
270,21BCB0130,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
271,21BCB0132,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
272,21BCB0136,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
273,21BCB0137,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
274,21BCB0139,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
275,21BCB0142,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
276,21BCB0147,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
277,21BCB0152,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
278,21BCB0164,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
279,21BCB0174,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
280,21BCB0180,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
281,21BCB0184,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
282,21BCB0185,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
283,21BCB0188,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
284,21BCB0193,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
285,21BCB0203,VIT - Vellore,,LTIMindtree,BCB,4LPA
286,21BCB0219,VIT - Vellore,,Infosys,BCB,3.6LPA
287,21BCB0222,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
288,21BCB0236,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
289,21BCB0256,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
290,21BCB0258,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
291,21BCE0007,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
292,21BCE0012,VIT - Vellore,,Infosys,BCE,3.6LPA
293,21BCE0027,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
294,21BCE0028,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
295,21BCE0034,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
296,21BCE0045,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
297,21BCE0048,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
298,21BCE0049,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
299,21BCE0050,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
300,21BCE0051,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
301,21BCE0072,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
302,21BCE0073,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
303,21BCE0074,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
304,21BCE0077,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
305,21BCE0082,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
306,21BCE0084,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
307,21BCE0084,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
308,21BCE0086,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
309,21BCE0091,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
310,21BCE0103,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
311,21BCE0116,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
312,21BCE0116,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
313,21BCE0121,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
314,21BCE0127,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
315,21BCE0134,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
316,21BCE0140,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
317,21BCE0143,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
318,21BCE0144,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
319,21BCE0144,VIT - Vellore,,LTIMindtree,BCE,4LPA
320,21BCE0151,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
321,21BCE0156,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
322,21BCE0158,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
323,21BCE0161,VIT - Vellore,,Infosys,BCE,3.6LPA
324,21BCE0161,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
325,21BCE0175,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
326,21BCE0175,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
327,21BCE0180,VIT - Vellore,,Infosys,BCE,3.6LPA
328,21BCE0180,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
329,21BCE0191,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
330,21BCE0201,VIT - Vellore,,Infosys,BCE,3.6LPA
331,21BCE0201,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
332,21BCE0202,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
333,21BCE0202,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
334,21BCE0208,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
335,21BCE0216,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
336,21BCE0217,VIT - Vellore,,LTIMindtree,BCE,4LPA
337,21BCE0227,VIT - Vellore,GenC Next Select,Cognizant,BCE,5.4LPA
338,21BCE0236,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
339,21BCE0240,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
340,21BCE0242,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
341,21BCE0243,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
342,21BCE0244,VIT - Vellore,GenC Next Select,Cognizant,BCE,5.4LPA
343,21BCE0248,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
344,21BCE0248,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
345,21BCE0256,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
346,21BCE0263,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
347,21BCE0269,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
348,21BCE0271,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
349,21BCE0271,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
350,21BCE0274,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
351,21BCE0274,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
352,21BCE0276,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
353,21BCE0276,VIT - Vellore,,LTIMindtree,BCE,4LPA
354,21BCE0276,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
355,21BCE0287,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
356,21BCE0289,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
357,21BCE0305,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
358,21BCE0318,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
359,21BCE0324,VIT - Vellore,,Infosys,BCE,3.6LPA
360,21BCE0324,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
361,21BCE0324,VIT - Vellore,,LTIMindtree,BCE,4LPA
362,21BCE0329,VIT - Vellore,,LTIMindtree,BCE,4LPA
363,21BCE0329,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
364,21BCE0343,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
365,21BCE0349,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
366,21BCE0349,VIT - Vellore,,Infosys,BCE,3.6LPA
367,21BCE0349,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
368,21BCE0352,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
369,21BCE0359,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
370,21BCE0365,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
371,21BCE0369,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
372,21BCE0378,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
373,21BCE0381,VIT - Vellore,,LTIMindtree,BCE,4LPA
374,21BCE0383,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
375,21BCE0388,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
376,21BCE0401,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
377,21BCE0405,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
378,21BCE0405,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
379,21BCE0420,VIT - Vellore,,Infosys,BCE,3.6LPA
380,21BCE0420,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
381,21BCE0425,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
382,21BCE0445,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
383,21BCE0455,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
384,21BCE0501,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
385,21BCE0505,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
386,21BCE0513,VIT - Vellore,,LTIMindtree,BCE,4LPA
387,21BCE0513,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
388,21BCE0524,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
389,21BCE0525,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
390,21BCE0528,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
391,21BCE0530,VIT - Vellore,,LTIMindtree,BCE,4LPA
392,21BCE0530,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
393,21BCE0536,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
394,21BCE0536,VIT - Vellore,,Infosys,BCE,3.6LPA
395,21BCE0539,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
396,21BCE0542,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
397,21BCE0554,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
398,21BCE0557,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
399,21BCE0563,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
400,21BCE0566,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
401,21BCE0591,VIT - Vellore,,Infosys,BCE,3.6LPA
402,21BCE0622,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
403,21BCE0622,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
404,21BCE0651,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
405,21BCE0664,VIT - Vellore,GenC Next Select,Cognizant,BCE,5.4LPA
406,21BCE0670,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
407,21BCE0671,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
408,21BCE0671,VIT - Vellore,,LTIMindtree,BCE,4LPA
409,21BCE0671,VIT - Vellore,,Infosys,BCE,3.6LPA
410,21BCE0671,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
411,21BCE0677,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
412,21BCE0677,VIT - Vellore,,Infosys,BCE,3.6LPA
413,21BCE0677,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
414,21BCE0680,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
415,21BCE0681,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
416,21BCE0713,VIT - Vellore,,LTIMindtree,BCE,4LPA
417,21BCE0722,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
418,21BCE0733,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
419,21BCE0734,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
420,21BCE0735,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
421,21BCE0735,VIT - Vellore,,Infosys,BCE,3.6LPA
422,21BCE0735,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
423,21BCE0744,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
424,21BCE0746,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
425,21BCE0772,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
426,21BCE0775,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
427,21BCE0782,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
428,21BCE0784,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
429,21BCE0794,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
430,21BCE0794,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
431,21BCE0795,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
432,21BCE0807,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
433,21BCE0809,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
434,21BCE0822,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
435,21BCE0846,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
436,21BCE0847,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
437,21BCE0847,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
438,21BCE0849,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
439,21BCE0853,VIT - Vellore,,Infosys,BCE,3.6LPA
440,21BCE0853,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
441,21BCE0853,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
442,21BCE0866,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
443,21BCE0870,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
444,21BCE0870,VIT - Vellore,,LTIMindtree,BCE,4LPA
445,21BCE0879,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
446,21BCE0896,VIT - Vellore,,LTIMindtree,BCE,4LPA
447,21BCE0896,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
448,21BCE0901,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
449,21BCE0907,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
450,21BCE0907,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
451,21BCE0909,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
452,21BCE0914,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
453,21BCe0914,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
454,21BCE0920,VIT - Vellore,,Infosys,BCE,3.6LPA
455,21BCE0920,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
456,21BCE0924,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
457,21BCE0933,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
458,21BCE0943,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
459,21BCE0945,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
460,21BCE0953,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
461,21BCE0959,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
462,21BCE0960,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
463,21BCE0960,VIT - Vellore,,LTIMindtree,BCE,4LPA
464,21BCE0960,VIT - Vellore,,Infosys,BCE,3.6LPA
465,21BCE0960,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
466,21BCE0962,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
467,21BCE0980,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
468,21BCE0982,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
469,21BCE0995,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
470,21BCE2003,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
471,21BCE2003,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
472,21BCE2004,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
473,21BCE2025,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
474,21BCE2033,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
475,21BCE2038,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
476,21BCE2047,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
477,21BCE2049,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
478,21BCE2055,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
479,21BCE2057,VIT - Vellore,,LTIMindtree,BCE,4LPA
480,21BCE2057,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
481,21BCE2058,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
482,21BCE2060,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
483,21BCE2066,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
484,21BCE2072,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
485,21BCE2077,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
486,21BCE2085,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
487,21BCE2102,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
488,21bce2102,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
489,21BCE2105,VIT - Vellore,,Infosys,BCE,3.6LPA
490,21BCE2105,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
491,21BCE2113,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
492,21BCE2132,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
493,21BCE2138,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
494,21BCE2139,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
495,21BCE2167,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
496,21BCE2177,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
497,21BCE2179,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
498,21BCE2184,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
499,21BCE2185,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
500,21BCE2186,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
501,21BCE2190,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
502,21BCE2192,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
503,21BCE2195,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
504,21BCE2199,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
505,21BCE2206,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
506,21BCE2207,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
507,21BCE2215,VIT - Vellore,,Infosys,BCE,3.6LPA
508,21BCE2215,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
509,21BCE2217,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
510,21BCE2221,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
511,21BCE2226,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
512,21BCE2259,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
513,21BCE2260,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
514,21BCE2262,VIT - Vellore,,LTIMindtree,BCE,4LPA
515,21BCE2275,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
516,21BCE2285,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
517,21BCE2291,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
518,21BCE2293,VIT - Vellore,,Infosys,BCE,3.6LPA
519,21BCE2312,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
520,21BCE2315,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
521,21BCE2327,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
522,21BCE2327,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
523,21BCE2328,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
524,21BCE2331,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
525,21BCE2333,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
526,21BCE2337,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
527,21BCE2340,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
528,21BCE2352,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
529,21BCE2353,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
530,21BCE2357,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
531,21BCE2378,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
532,21BCE2392,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
533,21BCE2395,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
534,21BCE2397,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
535,21BCE2423,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
536,21BCE2453,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
537,21BCE2460,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
538,21BCE2482,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
539,21BCE2494,VIT - Vellore,,LTIMindtree,BCE,4LPA
540,21BCE2496,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
541,21BCE2500,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
542,21BCE2509,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
543,21BCE2519,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
544,21BCE2522,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
545,21BCE2522,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
546,21BCE2544,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
547,21BCE2550,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
548,21BCE2550,VIT - Vellore,,LTIMindtree,BCE,4LPA
549,21BCE2550,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
550,21BCE2570,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
551,21BCE2580,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
552,21BCE2580,VIT - Vellore,,Infosys,BCE,3.6LPA
553,21BCE2580,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
554,21BCE2599,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
555,21BCE2599,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
556,21BCE2635,VIT - Vellore,,LTIMindtree,BCE,4LPA
557,21BCE2635,VIT - Vellore,,Infosys,BCE,3.6LPA
558,21BCE2635,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
559,21BCE2645,VIT - Vellore,,Infosys,BCE,3.6LPA
560,21BCE2645,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
561,21BCE2649,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
562,21BCE2653,VIT - Vellore,GenC Select,Cognizant,BCE,4LPA
